,timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
4213,2021-01-05 02:00,32786.05000000,32828.26000000,32633.52000000,32693.92000000,860.41262400,1609812899999,28173518.08903670,16351,385.94933400,12638934.94294891,0
4214,2021-01-05 02:15,32693.92000000,32800.00000000,32410.00000000,32505.73000000,943.06606700,1609813799999,30703795.75339688,18369,491.75111400,16009930.22018681,0
4215,2021-01-05 02:30,32505.74000000,32525.23000000,32262.25000000,32290.02000000,813.78313700,1609814699999,26344710.04695984,17429,402.38151200,13027356.77802641,0
4216,2021-01-05 02:45,32290.03000000,32459.04000000,32221.10000000,32306.64000000,546.16821600,1609815599999,17671966.32877464,13242,291.82083200,9444097.04387290,0
4217,2021-01-05 03:00,32306.64000000,32536.09000000,32306.64000000,32459.90000000,754.12811500,1609816499999,24461786.14695032,13619,380.36073500,12335315.09601534,0
4218,2021-01-05 03:15,32455.45000000,32491.99000000,31800.15000000,31881.65000000,1559.91083400,1609817399999,50117455.77973479,27901,798.88555100,25660795.16146527,0
4219,2021-01-05 03:30,31872.72000000,32095.56000000,31567.00000000,31718.67000000,1347.14190000,1609818299999,42941213.16946576,27966,688.29709100,21951458.22476572,0
4220,2021-01-05 03:45,31720.87000000,31754.47000000,31130.86000000,31200.00000000,2033.86364700,1609819199999,63829957.14270277,43394,884.19342700,27766257.41161681,0
4221,2021-01-05 04:00,31190.04000000,31538.45000000,30650.00000000,30682.07000000,2707.67453100,1609820099999,84221746.10147749,50557,1135.57364700,35345271.25470400,0
4222,2021-01-05 04:15,30704.86000000,31446.88000000,30418.00000000,31252.55000000,2374.42624600,1609820999999,73455882.53236961,51184,991.53951600,30727587.78796956,0
4223,2021-01-05 04:30,31252.54000000,31530.61000000,31100.01000000,31400.00000000,1061.25190300,1609821899999,33240107.40121496,28128,538.86709300,16884195.01232586,0
4224,2021-01-05 04:45,31399.99000000,31478.66000000,30809.00000000,30858.98000000,1086.13368600,1609822799999,33851661.81161609,27731,456.05965300,14213778.67347880,0
4225,2021-01-05 05:00,30858.98000000,31366.16000000,30834.18000000,31065.03000000,872.06851800,1609823699999,27179541.52656401,29271,433.26118300,13499441.63537438,0
4226,2021-01-05 05:15,31071.08000000,31180.16000000,30685.52000000,30968.79000000,1174.39463000,1609824599999,36319722.01147027,34268,476.88461100,14751911.80117667,0
4227,2021-01-05 05:30,30965.57000000,31245.00000000,30792.25000000,30854.66000000,873.54181100,1609825499999,27104003.58090087,29152,398.97995200,12380824.55394206,0
4228,2021-01-05 05:45,30854.66000000,30916.93000000,29900.00000000,30436.25000000,3446.97116500,1609826399999,104555518.98660339,66902,1385.00858500,42033876.54837023,0
4229,2021-01-05 06:00,30436.26000000,30616.49000000,29900.00000000,30045.22000000,2413.46991700,1609827299999,73060916.33079764,41360,1377.44165600,41658243.74130695,0
4230,2021-01-05 06:15,30027.26000000,30553.83000000,30017.52000000,30532.55000000,1343.95233400,1609828199999,40785361.59584653,28363,792.67015800,24055480.57662793,0
4231,2021-01-05 06:30,30532.55000000,31058.00000000,30512.58000000,30914.63000000,1925.88461300,1609829099999,59550974.96023780,35838,1019.17067600,31508227.10099669,0
4232,2021-01-05 06:45,30914.64000000,31270.43000000,30903.47000000,31123.25000000,927.90387100,1609829999999,28888995.44567957,22433,470.01633200,14622803.07042466,0
4233,2021-01-05 07:00,31123.25000000,31312.03000000,30992.07000000,31120.11000000,886.76638200,1609830899999,27597069.48908852,20595,413.33616000,12861189.20203077,0
4234,2021-01-05 07:15,31120.12000000,31275.86000000,30899.58000000,31102.88000000,703.26081700,1609831799999,21837797.38672404,18238,311.56264600,9674839.23339720,0
4235,2021-01-05 07:30,31104.44000000,31104.44000000,30856.00000000,31083.99000000,594.89039000,1609832699999,18420210.71251343,16436,271.39660100,8403194.11425756,0
4236,2021-01-05 07:45,31083.99000000,31087.57000000,30759.47000000,30817.77000000,626.46636400,1609833599999,19350991.69295293,16465,282.86042300,8740062.89645517,0
4237,2021-01-05 08:00,30817.78000000,31429.88000000,30817.78000000,31363.61000000,1261.00097100,1609834499999,39276083.01775374,30115,708.64110800,22077916.45403233,0
4238,2021-01-05 08:15,31363.27000000,31522.19000000,31197.10000000,31203.00000000,794.05412000,1609835399999,24901984.86126436,23970,404.68394200,12694340.11348630,0
4239,2021-01-05 08:30,31206.47000000,31320.00000000,31012.68000000,31027.39000000,584.21505600,1609836299999,18226851.14800907,19146,293.44116800,9156860.98482914,0
